Produto,Região,Cidade,Total_Vendas,Total_Quantidade,Total_Lucro,Num_Transacoes,Latitude,Longitude
Webcam,Norte,Belém,71878,134,32779.99,9,-1.4669,-48.505858
Webcam,Norte,Boa Vista,47097,135,10729.99,11,2.829144,-60.673523
Webcam,Norte,Macapá,65422,198,13112.94,12,0.048567,-51.068208
Webcam,Norte,Manaus,99666,240,37937.11,16,-3.107127,-60.010986
Webcam,Norte,Palmas,74368,157,37594.14,11,-10.257317,-48.321921
Webcam,Norte,Porto Velho,54525,111,17670.21,8,-8.747742,-63.894594
Webcam,Norte,Rio Branco,71619,205,20316.27,14,-9.975135,-67.815089
Headphone,Oeste,Desconhecida,347249,953,34349.27,71,,
Headset,Oeste,Desconhecida,433633,1040,147710.26,69,,
Memória RAM,Oeste,Desconhecida,443185,1088,136474.29,74,,
Mouse,Oeste,Desconhecida,356385,760,143557.0,55,,
SSD,Oeste,Desconhecida,387255,1162,118994.45,71,,
Teclado,Oeste,Desconhecida,516499,1346,198645.4,82,,
Webcam,Oeste,Desconhecida,327542,845,62712.7,61,,
Headphone,Sul,Blumenau,50135,121,15636.82,7,-26.938481,-49.045916
Headphone,Sul,Caxias do Sul,43259,95,16185.44,6,-29.172248,-51.196107
Headphone,Sul,Curitiba,59897,133,25741.1,8,-25.428167,-49.28402
Headphone,Sul,Florianópolis,67250,276,-21019.82,17,-27.585666,-48.544679
Headphone,Sul,Joinville,97059,221,57680.12,14,-26.303977,-48.848521
Headphone,Sul,Londrina,34309,105,13068.04,6,-23.295947,-51.16955
Headphone,Sul,Maringá,90489,258,27678.74,15,-23.422432,-51.94657
Headphone,Sul,Porto Alegre,51530,165,22942.87,10,-30.023701,-51.212499
Headset,Sul,Blumenau,84844,238,26492.91,13,-26.914163,-49.068716
Headset,Sul,Caxias do Sul,42433,182,2904.32,10,-29.189408,-51.160832
Headset,Sul,Curitiba,105447,224,42468.61,14,-25.433143,-49.285332
Headset,Sul,Florianópolis,56838,130,14963.57,9,-27.593225,-48.542465
Headset,Sul,Joinville,65945,196,-3016.46,14,-26.313728,-48.839714
Headset,Sul,Londrina,30765,91,3865.15,7,-23.279209,-51.174707
Headset,Sul,Maringá,38952,109,21125.75,7,-23.417359,-51.924619
Headset,Sul,Porto Alegre,84819,188,39675.39,11,-30.043928,-51.200563
Memória RAM,Sul,Blumenau,31490,56,6695.38,7,-26.926502,-49.07142
Memória RAM,Sul,Caxias do Sul,78963,174,34830.85,11,-29.181254,-51.1867
Memória RAM,Sul,Curitiba,52815,180,27445.69,8,-25.438088,-49.26471
Memória RAM,Sul,Florianópolis,37158,108,11478.22,7,-27.578046,-48.54444
Memória RAM,Sul,Joinville,47697,174,-6108.56,10,-26.304136,-48.838458
Memória RAM,Sul,Londrina,35055,110,20119.99,6,-23.281036,-51.180637
Memória RAM,Sul,Maringá,89847,232,22996.94,17,-23.416306,-51.930099
Memória RAM,Sul,Porto Alegre,70389,134,21115.66,13,-30.023456,-51.219232
Mouse,Sul,Blumenau,65307,122,36962.74,10,-26.940239,-49.076502
Mouse,Sul,Caxias do Sul,48015,114,20666.95,8,-29.16476,-51.174513
Mouse,Sul,Curitiba,81792,179,33241.37,12,-25.432471,-49.265636
Mouse,Sul,Florianópolis,47027,109,5388.0,9,-27.575226,-48.555357
Mouse,Sul,Joinville,41080,68,20750.1,5,-26.307701,-48.84016
Mouse,Sul,Londrina,53435,146,20438.46,9,-23.298265,-51.170252
Mouse,Sul,Maringá,44764,133,14641.45,8,-23.418301,-51.938695
Mouse,Sul,Porto Alegre,34309,105,13362.2,7,-30.039001,-51.219542
SSD,Sul,Blumenau,55707,133,14601.59,9,-26.926342,-49.059281
SSD,Sul,Caxias do Sul,58529,140,23570.12,10,-29.171874,-51.16908
SSD,Sul,Curitiba,71478,153,44018.91,11,-25.426871,-49.254356
SSD,Sul,Florianópolis,50537,94,17734.1,8,-27.603626,-48.560512
SSD,Sul,Joinville,27884,69,8762.01,4,-26.285626,-48.847052
SSD,Sul,Londrina,63014,172,13875.36,14,-23.305685,-51.177603
SSD,Sul,Maringá,33038,66,7378.3,6,-23.42533,-51.922239
SSD,Sul,Porto Alegre,73468,141,32866.12,9,-30.039748,-51.213151
Teclado,Sul,Blumenau,30403,110,5168.89,6,-26.902333,-49.08187
Teclado,Sul,Caxias do Sul,28062,103,-1219.8,8,-29.162,-51.178602
Teclado,Sul,Curitiba,49121,82,24342.32,7,-25.446493,-49.266665
Teclado,Sul,Florianópolis,43794,159,8999.52,8,-27.585779,-48.544214
Teclado,Sul,Joinville,44203,134,8863.99,9,-26.299259,-48.844478
Teclado,Sul,Londrina,34109,57,19232.12,4,-23.331518,-51.184874
Teclado,Sul,Maringá,28689,93,8798.81,5,-23.415619,-51.924
Teclado,Sul,Porto Alegre,74314,112,30062.41,9,-30.0385,-51.200404
Webcam,Sul,Blumenau,75847,183,23157.92,11,-26.912164,-49.071878
Webcam,Sul,Caxias do Sul,95101,251,38284.13,15,-29.178811,-51.186532
Webcam,Sul,Curitiba,66178,154,30920.19,8,-25.432359,-49.268576
Webcam,Sul,Florianópolis,40885,109,28499.77,6,-27.59654,-48.548909
Webcam,Sul,Joinville,54211,118,28931.47,8,-26.304711,-48.841784
Webcam,Sul,Londrina,27937,65,10024.77,5,-23.294353,-51.180839
Webcam,Sul,Maringá,66963,135,24148.2,10,-23.414086,-51.935707
Webcam,Sul,Porto Alegre,56871,179,11100.66,12,-30.023791,-51.2237
